metric,k,accuracy,f1_score,auc
euclidean,1,0.659,0.655,0.796
euclidean,2,0.642,0.635,0.829
euclidean,3,0.649,0.644,0.85
euclidean,4,0.659,0.654,0.864
euclidean,5,0.666,0.661,0.874
euclidean,6,0.672,0.666,0.882
euclidean,7,0.679,0.673,0.889
euclidean,8,0.687,0.68,0.894
euclidean,9,0.692,0.686,0.899
euclidean,10,0.697,0.69,0.903
euclidean,11,0.701,0.694,0.907
euclidean,12,0.705,0.697,0.91
euclidean,13,0.708,0.701,0.913
euclidean,14,0.712,0.704,0.916
euclidean,15,0.715,0.708,0.918
cosine,1,0.715,0.708,0.912
cosine,2,0.714,0.706,0.91
cosine,3,0.716,0.708,0.911
cosine,4,0.718,0.711,0.911
cosine,5,0.721,0.714,0.912
cosine,6,0.725,0.718,0.914
cosine,7,0.728,0.721,0.916
cosine,8,0.731,0.725,0.917
cosine,9,0.734,0.727,0.919
cosine,10,0.736,0.73,0.921
cosine,11,0.738,0.732,0.922
cosine,12,0.74,0.733,0.923
cosine,13,0.742,0.735,0.925
cosine,14,0.744,0.737,0.926
cosine,15,0.746,0.739,0.927
